Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
shank,3.4,4.9,3.2,3.6,4.38,5.23,3,3.73,4.92,4.88
shanty,3.14,4.56,2.62,3.46,4.46,4.67,3.12,3.17,5.29,3.64
shape,5.41,3.6,5.38,5.44,4.29,3.23,5.92,4.8,3.78,3.45
shard,04.05,4.18,4.67,3.77,4.27,04.09,04.09,4,4,4.36
share,6.22,3.2,4.25,7.8,3.14,3.23,05.09,8,2.44,3.82
shareholder,4.48,2.96,4.33,4.58,03.09,2.83,3.43,05.08,3.18,2.75
shark,04.02,5.27,3.62,4.21,5.5,5.14,4.25,3.88,5.67,5
sharp,5.24,6,5.25,5.23,6,6,05.08,5.5,5.92,6.14
sharpen,5.67,4.74,6.2,5.46,5.7,3.67,5.86,5.55,4.88,4.64
sharpshooter,4.26,5.62,6.33,3.88,6.17,5.4,4.7,3.78,3.86,6.5
shatter,3.44,5.29,3,3.53,5.75,5,2.25,4.4,6.11,4.67
shattering,3.67,5,4.4,3,4.57,5.21,3.64,3.7,3,5.62
shave,4.9,3.11,4.17,5.2,2.5,3.55,4.56,5.17,3.56,2.7
shaver,5.39,4.22,5,5.78,5,3.87,5.56,5.22,5.3,3.33
shawl,4.9,3.35,4.7,5.1,3.75,03.08,4.56,5.18,3.92,2.29
shear,5.21,3.57,4.33,5.38,3.33,3.67,5.3,5.11,4.29,3.21
sheath,4.85,04.05,4.44,5.18,3.2,4.44,05.07,4.33,3.42,5.11
shed,5.37,3.64,5.11,5.6,4,3.43,5.29,5.42,4.6,2.83
sheep,5.32,2.95,5.31,5.33,4.2,2.53,5.56,5.1,4,2.38
sheepdog,6.4,3.91,6.33,6.45,3,4.25,6.36,6.5,3.75,4.22
sheer,5.38,5.55,5.62,5.23,7,05.07,5.62,5,6.17,4.62
sheet,5.57,2.64,5.4,5.73,2,2.93,5.64,5.5,2,2.82
sheik,5.15,4.39,5.4,05.07,4.8,4.23,5.8,4.5,4.71,4.18
shelf,5.62,03.09,5.67,5.58,2.83,03.07,5.78,5.5,3.4,3
shell,06.05,3.23,6,06.08,2.33,3.4,5.56,6.42,4.4,2.88
shellfish,5,2.9,4.83,05.07,2.88,2.92,5.5,4.67,2.78,3
shelter,6.5,3.25,5.88,6.92,3.89,2.87,6.89,6.18,3.33,3.17
sheltered,5.39,3.14,5.83,05.08,3.63,2.74,5.24,5.59,2.69,3.42
shepherd,5.75,03.05,4.67,5.94,2.29,3.38,5.57,5.85,2.71,3.15
sherbet,6.36,4.65,5.25,7.31,4.62,4.64,5.88,6.92,5,4.43
sheriff,4.44,4.3,3.62,5.1,3.86,4.54,3.73,5.57,4.33,4.27
sherry,5.95,3.65,5.92,6,4.8,3.27,5.44,6.4,3.71,3.62
shield,5.91,3.65,6.33,5.62,2.4,4.44,6.62,5.5,4.69,2.62
shift,4.95,3.82,5.36,4.38,4.75,3.54,5.25,4.73,4.29,3.5
shifty,3.37,4.78,3.33,3.4,4.86,4.73,3.22,3.5,5.1,4.5
shilling,5.36,3.76,5.86,4.5,4.18,3.22,4.9,5.75,3.64,3.9
shimmer,6.95,5.37,6.6,07.06,4.88,5.73,6.67,7.3,4.7,6.11
shimmering,6.81,4.33,6.22,7.25,3,4.93,7,6.67,3.8,4.5
shimmy,6.52,5.2,6.88,6.31,7,4.6,07.08,5.62,5.92,4.12
shin,05.09,3.68,4.89,5.23,3.33,3.88,5.25,5,4.23,03.08
shindig,6.9,5.8,6.38,7.23,5.6,5.87,6.85,7,5.58,6.12
shine,7.27,5.19,7.11,7.38,4.7,5.5,7.38,7.21,5.77,4.62
shiner,4.84,4,4.92,4.67,3.6,4.13,5.89,3.9,3.57,4.23
shingle,4.45,3.71,5.1,3.8,4,3.54,4.33,4.55,04.08,3.12
shining,5.84,3.89,6,5.62,4.5,3.71,6,5.73,5.14,03.09
shiny,6.68,4.45,07.08,5.83,6.2,3.87,6.44,6.9,5.14,04.08
ship,6.14,3.94,6.22,06.08,4.67,3.58,6.29,6.15,4.6,3.12
shipment,5.26,3.91,5.5,05.09,4.36,3.5,4.92,6,4.22,3.71
shipping,5.6,4.41,6.29,5.23,4.2,4.58,5.64,5.56,3.78,4.85
shipshape,5.2,4.29,5.25,5.17,4.11,4.4,4.67,5.64,4.17,4.42
shipwreck,3.84,6.85,3.8,3.77,6.67,6.93,3.43,4,6.43,07.08
shipyard,05.05,3.52,5.4,4.7,3.64,3.42,4.4,5.7,04.09,3
shire,5.78,3.3,7,5.31,3.18,3.44,5.29,06.09,3.33,3.27
shirt,5.56,2.3,4.38,6.5,1.86,2.54,5,6.43,1.67,2.82
shit,3.91,5.67,3.83,4.13,6.14,5.43,4.93,2.29,5.56,5.75
shitfaced,4.65,06.05,6.86,3.46,5.5,6.5,4.73,4.56,6.67,5.62
shithead,2.37,6,2.77,1.5,4.4,6.53,3,1.8,5.29,6.38
shitload,4.76,6.19,4.85,4.62,6.27,6.11,4.33,05.08,5.82,6.6
shitty,2.3,5.45,2.67,2,4.6,6.17,02.07,2.83,5,5.71
shiver,3.61,4.65,3.2,3.77,05.09,4.11,3.57,3.64,3.11,5.91
shock,3.9,5.95,4.62,2.75,6.43,5.69,4.58,3,6.11,5.82
shocker,4.35,4.62,4,4.44,5.5,4.41,4.38,4.33,5.1,4.18
shocking,4.63,5.3,5.15,3.5,6.4,4.93,5.78,3.6,6.71,4.54
shoddy,4.14,4.8,4.5,3.92,5.2,4.67,4.46,3.62,4.92,4.62
shoe,5.78,2.4,4.75,6.6,2.14,2.54,5.18,6.71,2,2.73
shoelace,5.71,3.13,5.55,5.9,3.36,2.92,6,5.45,3.73,2.58
shoemaker,5.86,2.7,6.33,5.5,3.45,2,5.71,5.85,2.64,2.75
shoes,5.88,3.57,5.55,6.15,2.64,4.42,5,6.27,3.82,3.33
shoeshine,5.68,2.9,5.67,5.93,2.8,3,5.5,06.08,2.14,3.31
shoot,3.5,6,3.67,3.53,5.71,6.14,3.71,3.29,5.67,6.25
shooter,3.7,6.48,4,3.45,6.7,6.27,3.93,3.17,6.57,6.43
shootout,3.32,06.09,4,2.7,5.5,6.43,5.29,2.17,5.1,6.92
shop,5.89,4.76,4.62,6.9,3.86,5.21,4.82,7.57,5.56,4.17
shopkeeper,5.35,3.57,5.44,5.27,2.5,3.94,5.64,4.67,04.08,3
shoplifter,2.26,5.59,2.78,1.8,5,5.93,3.43,1.58,5.2,5.92
shoplifting,2.95,4.32,3.7,2.27,3.71,4.6,3,2.9,3.2,4.65
shopper,5.29,3.94,4.9,5.86,3.75,4,4.43,5.9,3,4.55
shoreline,6.29,4.42,6,6.4,4.62,4.27,5.83,6.47,4.5,4.33
short,5.67,2.62,5.62,5.7,2.71,2.57,5.64,5.71,1.67,3.33
short story,5.42,3.86,4.67,5.56,3.5,4,5.3,5.56,4,3.79
shortage,3.63,3.72,3.82,3.38,4,3.64,3.62,3.64,3.71,3.73
shortcake,6.89,4.14,6.33,7.15,3.64,4.7,6.64,7.25,3.91,4.4
shortcut,5.84,04.05,6.33,5.75,4.83,3.71,6,5.67,4.57,3.77
shorten,05.05,2.77,4.8,5.27,2,3.13,5.18,4.9,2.4,2.88
shorthand,4.9,4.44,5.5,4.54,4.54,4.33,5.38,4.92,5.14,3.55
shortness,3.75,4.48,3.8,3.7,4,4.77,3.67,3.82,5,3.62
shorts,5.95,4.23,5.89,6,4.64,3.82,5.43,7.17,4.89,3.77
shortstop,5.3,4.4,4.82,5.89,4.71,4.23,05.09,5.56,4.18,4.67
shortwave,5.3,4.33,5.38,5.25,5.22,3.8,5.44,5.18,4.17,4.5
shot,2.82,6.48,3.5,2.6,5.86,6.79,3,2.57,5.78,7
shotgun,3.5,6.55,5.4,2.87,6.57,6.53,4.5,2.5,6.41,6.66
shoulder,5.1,2.96,4.2,5.4,3.33,2.55,4.64,5.67,3.25,2.29
shout,5,6.29,5,5,5.38,6.85,4.78,5.18,6.15,6.5
shove,3.1,3.83,3.5,2.85,5.83,3.17,03.08,3.11,4.9,03.07
shovel,4.8,3.5,4.56,5,2.6,3.75,5.21,3.83,3.42,3.56
show,5.91,4.1,5.83,06.07,3.43,4.43,5.93,6.14,3.33,4.67
showbiz,5.52,06.05,5,5.73,6,06.08,5.17,5.67,6.5,5.6
showboat,5,4.12,3.4,5.53,4.8,3.83,4.4,5.6,4.33,3.88
showcase,6.29,3.71,6.25,6.31,5.33,3.17,6.25,6.33,4.9,2.86
showdown,4.68,5.55,05.08,3.83,7.2,5,6.22,3.3,7.29,4.62
shower,7.19,4.15,6.69,8,5,3.69,7,7.44,4.44,3.91
showgirl,5.38,5.76,6,4.38,6.73,4.89,5.6,5.18,5.18,6.4
showoff,4,5.45,3.62,4.23,6,5.27,3.77,4.38,5.5,5.38
showroom,5.57,3.88,6.25,5.15,6,3.17,5.58,5.56,4.6,3.36
shrapnel,3.6,4.96,3,04.09,4.55,5.33,3.93,2.83,3.67,5.79
shred,4.53,3.7,4.67,4.4,3.57,3.87,4.33,4.7,3.4,04.08
shrew,3.83,3.87,4.71,3.47,4.67,3,3.54,4.18,4.12,3.29
shrewd,4.4,4.18,4,4.73,3.27,05.09,04.07,5.17,2.67,5.23
shriek,3.45,5.37,3.41,3.5,4.73,5.73,04.05,2.62,5.38,5.35
shrill,3.33,5.95,3.25,3.44,6.43,5.71,2.75,3.47,6,5.91
shrimp,6.95,3.78,6.82,7.1,3.82,3.75,6.9,7,04.09,3.5
shrine,5.38,3.35,5.64,5.1,3.82,2.92,5.4,5.36,3.64,03.08
shrink,4,3.42,3.88,04.08,5,2.89,3.92,4.11,4,3
shrivel,4.21,4.14,4.67,3.8,4.57,3.93,4.22,4.2,5,3.5
shroud,4.21,3.4,5,4.2,2.9,3.9,4.67,4.17,1.71,4.31
shrug,4.71,3.9,5.67,4.33,4.12,3.75,4.83,4.67,4.8,3
shrunken,3.58,4.43,3.89,3.3,4.38,4.46,4.57,3,4.3,4.55
shudder,4.1,4.48,3.78,4.33,4.33,4.56,3.94,4.6,3.93,5.3
shuffle,4.72,3.45,4.4,4.85,3.27,3.67,5.14,4.45,2.67,04.09
shuffleboard,4.77,3.92,5,4.62,2.89,4.5,4.62,4.86,4.58,3.31
shuffling,4.85,4.68,4.91,4.78,4.43,4.83,05.09,4.56,4.6,4.78
shun,2.42,04.04,2.11,2.7,3.86,4.27,2.44,2.4,4.3,4
shunt,4.2,3.76,4.67,4.12,3.14,4.23,4.57,4,3.57,4
shut,4.5,04.05,5.17,4.2,4.29,3.93,4.86,3.71,4,04.08
shutdown,3.57,2.92,3.38,3.69,4.83,2.28,3.25,4,3.5,2.5
shuteye,5.47,03.06,5.91,4.88,3,03.07,5.75,5.27,3.29,2.91
shutter,4.7,3.38,4.75,4.69,4,3.24,4.62,4.75,3.2,3.55
shuttle,5.65,3.81,5.78,5.55,4.1,3.55,5.5,6,3.86,3.79
shy,5.16,3.33,4.67,5.4,3.23,3.38,5.33,5.25,3.3,3.37
shyness,4.43,3,4.12,4.62,4,2.67,4.25,4.67,3.3,2.79
shyster,3.68,4,4.64,2.38,5.25,3.64,4.12,3.36,2.86,4.73
sibling,7.27,5.16,7.4,7.25,5.75,4.73,7.25,7.3,4.4,6
sick,2.29,4.67,2.58,1.89,3.29,5.31,1,2.59,4,4.92
sickbay,3.65,4.18,5.14,2.85,3.9,4.42,3,4.44,4.33,04.08
sickening,2.53,05.05,3.33,2.38,4.17,5.43,2.9,2.11,5.5,4.86
sickle,3.95,3.5,4.17,3.85,3.36,3.64,4.36,3.38,3.27,3.73
sickly,3.16,4.41,3.8,2.73,4.1,4.67,3.17,3.15,3.91,4.91
sickness,2.4,3.95,2.18,2.67,4.69,3.48,2.55,2.22,04.04,3.83
side,5.32,3.14,4.33,5.73,2.14,3.64,5.36,5.29,3.44,2.92
sidearm,4.55,3.67,5.38,4,3.89,3.53,3.67,5.27,3.75,3.58
sidebar,4.95,3.85,4.29,5.31,5.8,3.2,4.83,5.12,4.17,3.38
sideburns,4.18,4.29,4.71,3.93,3.83,4.47,4.75,3.85,6.14,3.36
sidecar,6.11,4.73,6.11,6.1,5.25,4.43,6,6.17,4.6,4.83
sidekick,6.14,04.08,6.11,6.17,4,4.11,6.31,5.6,3.71,4.6
sideline,4.55,3.35,4.73,4.33,03.09,3.58,4.33,4.73,3,3.67
sideshow,4.86,5,5.43,4.54,5.62,4.69,5,4.77,5.38,4.79
sidewalk,5.67,3.65,6.17,5.47,3.88,3.5,5.5,5.73,3.8,3.5
sidewinder,4.26,05.09,4.44,4.1,5.62,4.79,4.57,04.08,5,5.17
siege,4.1,5.55,4.75,3.69,5.6,5.53,4.31,3.75,06.08,4.75
siesta,6.38,3.59,6,6.57,3,04.08,6.64,6.1,3.91,3.27
sift,05.09,3.67,5.4,5,4.12,3.38,5.1,05.08,3.78,3.58
sigh,4.29,2.91,5.8,3.81,3.5,2.2,3.83,4.89,3.25,2
sight,7.11,3.2,6.62,7.5,3.86,2.85,6.91,7.43,4.22,2.36
sighting,5.57,4.26,5.45,5.7,4.82,3.75,5.7,5.45,4.91,3.67
sightseeing,7.38,05.08,7.62,7.23,5.77,4.27,8,07.08,5.5,4.5
sigma,4.83,3.23,5.27,4.67,4.25,2.64,4.62,5,2.33,3.85
sign,5.27,3.19,4.83,5.47,2.57,3.5,5.5,4.86,3.11,3.25
signal,5.27,04.05,5.23,5.33,4.43,3.85,5.25,5.3,3.78,4.27
signature,5.57,3.3,5.64,5.5,3.36,3.25,5.7,5.45,3.73,2.92
significance,6.21,4,6.33,6.19,4.5,3.69,7.22,5.3,4.78,3.42
significant,6.6,4.9,6.71,6.54,4.44,5.27,6.6,6.78,4.25,5.33
signify,5.16,4.8,5.54,4.33,5.6,4.53,5.33,5,6.29,4
silence,5.25,3.48,5.1,5.4,2.71,3.87,5.1,5.4,4.1,3
silencer,3.9,3.57,3.89,3.92,4.45,2.75,4.57,3.62,3.64,3.5
silent,5.14,3.21,4.75,5.38,3.15,3.27,5.5,5.25,4,2.1
silhouette,6.1,3.14,6.1,06.09,2.86,3.27,6.55,5.6,1.6,3.59
silicon,5.1,04.05,5.11,05.09,4,04.08,5.36,4.5,4.25,3.93
silicone,4.26,3.44,5,3.25,4,3.29,4.75,3.91,3.71,3.27
silk,6.55,3.88,6.71,6.36,4.12,3.72,6.43,6.62,3.48,4.39
silken,6.38,2.7,6.33,6.4,3.75,2,5.5,6.73,3.4,2
silky,7,3.73,5.83,7.58,4.27,3.18,7.18,6.71,3.82,3.64
sill,5,3.36,5.5,4.69,3.85,2.83,5.5,5,4.29,2.18
silliness,6.27,5.13,6.12,6.15,3.88,5.86,6.38,6,5.22,05.07
silly,6.72,4.86,7,6.54,4.5,4.97,6.83,6.62,4.4,5.11
silo,4.59,2.9,4.67,4.4,5.4,02.07,4.43,4.7,4.43,02.08
silver,7.48,4,7.23,7.88,5.43,3.23,7.25,7.78,4.11,3.91
silverware,5.76,2.96,5.36,6.2,03.09,2.83,6.4,5.18,3,2.92
silvery,5.72,3.67,5.73,5.71,5.25,3.21,6.12,5.4,3.86,3.55
similar,5.86,3.43,6,5.67,3,3.64,6.5,5.71,3.7,3.18
similarity,06.05,3.14,6,06.06,3.75,3,5.75,6.25,3.8,2.55
simmer,5.86,3.18,5.8,5.91,3.14,3.2,6.18,5.5,2.8,3.29
simple,7.17,2.71,6.75,7.5,3,2.57,7,7.43,2,3.25
simpleton,4.53,3.18,4.67,4.46,3.36,3,4.73,4.25,3,3.36
simplicity,07.05,3.57,6.67,7.12,3.25,3.77,7,7.1,3.22,3.83
simplify,6.35,3.1,6.43,6.31,4,2.36,6.5,6.33,2.38,3.58
simplistic,6.43,3.88,7.11,5.92,4.67,3.72,6.62,5.8,04.07,3.8
simulate,5.76,4.84,5.67,5.8,6.14,04.08,5.83,5.73,5.2,4.44
simulated,5.63,4.61,5.44,5.8,4,05.07,5.78,5.5,4.3,05.08
simulation,5.67,3.83,5.73,5.6,3.18,4.42,6,5.36,3.64,4
simulator,5.9,3.82,5.89,5.92,3,4,4.89,6.67,4.8,3.53
simultaneous,5.57,3.48,5.67,5.5,4.45,2.58,5.57,5.62,4,3
sin,03.08,5.82,3.36,2.92,06.08,5.5,3.41,2.67,5.89,5.77
sincere,6.86,3.91,6.88,6.77,4.29,3.64,7.88,6.15,4.22,3.69
sincerity,7.9,4.42,08.09,7.67,4.14,4.58,7.73,8.11,4.8,4
sinful,3.37,5.76,5.33,3,5.5,5.87,2.56,4.1,6.14,5.57
sing,7.5,4.1,7.17,7.6,4.14,04.07,7.57,7.29,4.33,3.92
singer,6.9,4.86,7.2,6.6,4.75,4.92,6.56,7.18,4.92,4.75
single,5.39,3.85,5.12,5.6,3,4.31,4.73,6.43,2.67,4.82
singular,4.89,3.12,05.09,4.62,4,2.85,4.88,4.91,3.57,2.8
singularity,4.6,3.22,4.89,4.36,3.91,2.58,4.29,4.75,3.82,2.67
sinister,2.63,5.1,2,2.6,5.4,4.8,2.17,2.67,5,5.15
sink,4.62,3.7,4,4.81,4.92,2.36,4.58,4.67,3.38,4.43
sinker,4.84,3.45,5.17,4.69,3.55,3.36,4.64,5.12,2.91,4
sinner,3.25,5.38,4.14,2.77,4.44,06.08,3.73,2.67,5.44,5.33
sinus,3.57,3.23,3.8,3.36,3,3.33,04.09,3,2.6,3.41
sip,5.38,2.71,5.38,5.38,4.67,02.06,05.08,5.78,3.3,2.29
sir,5.45,4.33,5.67,5.47,4,4.5,5.57,5.43,4.33,4.33
sire,5.38,3.54,5.75,5.15,4.67,3.17,5.42,5.33,3.9,3.29
siren,3.8,6.1,3.36,4.33,7.14,5.54,4,3.56,6,6.22
sirloin,7.38,4,7.62,7.23,5.67,3.44,7.17,7.67,4.8,3.43
sissy,3.42,3.26,4.11,2.8,3.91,2.67,4.86,2.58,03.09,3.42
sister,7,3.86,6.5,7.2,4,3.79,6.79,7.43,3.67,4
sisterhood,5.68,4.33,5.55,5.88,3.75,4.5,5.12,06.09,4.14,4.45
sit,5.82,3.19,6,5.8,3,3.29,5.79,6,3.67,2.83
sitcom,6.1,3.29,6.38,5.92,3.33,3.28,5.83,6.44,3.7,3
site,5.22,3.55,5.5,5,3.88,3.36,5.29,5.18,4.3,2.92
sitter,4.89,2.73,4.89,4.9,3.62,2.21,5,4.83,3.8,1.83
situation,5.33,04.05,5,5.6,4.14,4,4.91,6,3.67,4.36
six,4.85,3.18,4.4,5,3.75,3,5.1,4.6,4.43,2.3
sixpence,4.62,3.52,4.89,4.42,4,03.08,4.29,4.77,3.91,3.17
sixteen,6.3,4.2,6.43,6.23,4,4.36,5.8,6.78,4.12,4.25
sixty,4.7,3.9,5.2,4.53,3.88,3.92,5.5,4.17,4.11,3.73
sizable,6.62,4.3,6.83,6.53,5.62,3.42,7,6.47,4.6,4
size,5.61,3.14,5.38,5.8,3.86,2.79,5.55,5.71,2.78,3.42
sizzle,6.14,4.39,6.55,5.7,4.55,4.25,6.3,6,3.73,5
ska,4.57,3.56,4.78,4.42,3.67,3.67,4.31,5.4,3,4.6
skate,6.74,4.48,6.22,7.2,4.29,4.67,7,6.5,4.3,4.75
skateboard,5.16,4,3.5,5.6,3.5,4.12,5,5.27,4,4
skater,6.16,3.95,5,6.47,2.25,4.35,5.88,6.36,4,3.91
skedaddle,5.24,4.11,4.83,5.4,4.88,3.55,5.11,5.33,4.5,3.82
skeet,4.25,5.1,4.67,3.91,3.4,5.6,4.14,4.5,4.75,5.5
skeletal,3.63,4.2,5,3.47,4.1,4.3,4.5,3.33,4.14,4.23
skeleton,4.37,4.55,5.33,3.92,4.82,4.27,4.55,4.12,4,05.09
skeptic,4.21,5.35,4.2,04.08,4.83,5.57,4,4.18,5,5.5
skeptical,3.58,5.45,3.67,3.5,5,5.62,3.57,3.58,5,5.63
skepticism,4.3,5.3,3.45,5.33,5.29,5.31,4.82,3.67,5.36,5.22
sketch,6.21,4.33,6,6.25,3.86,4.62,5.43,6.67,4.43,4.31
sketchy,04.09,4.96,4.11,04.08,4.9,5,4.12,04.07,4.46,5.46
skewer,5.37,4.81,5,5.46,5,4.73,4.57,5.82,5.43,4.5
ski,5.91,06.05,5.8,5.81,6.5,5.73,6.25,5.5,5.9,6.22
skid,4,4.45,5,3.6,5.12,4,4.17,3.93,4.4,4.5
skier,5.76,3.14,5.6,5.91,2.29,3.53,5.91,5.6,2.2,3.41
skiing,6.25,5.4,7.62,5.33,5.46,5.33,6.25,6.18,5.71,5
skijump,5.11,5.5,5,5.12,5.1,5.55,5.11,5.1,5.8,5.33
skill,6.65,4.94,7.6,6.33,5.83,4.5,7.3,6,5.2,4.62
skilled,07.05,5,6.8,7.19,6.5,3.91,07.08,7,4.6,5.44
skillet,5.85,3.24,5.75,5.88,3.75,3.12,6,5.75,3.4,03.09
skillful,6.86,4.42,7.22,6.62,3.5,5,6.5,07.07,4.77,04.08
skim,4.67,3.55,5.83,4.2,3.62,3.5,5.17,4.47,3.5,3.6
skimpy,4.65,4,5.25,4.25,4.27,3.75,5,4.54,4.82,3.25
skin,5.78,3.25,5.38,6.1,3.14,3.31,5.55,6.14,3.22,3.27
skinny,5.36,4.27,5.11,5.54,2.4,5.44,6.25,4.86,4.46,04.08
skip,4.76,4.25,4.75,4.77,04.08,4.45,4.75,4.92,4.93,3.3
skirmish,4.25,5.11,5,4,6,4.77,4.6,3.9,5.57,4.82
skirt,6.14,4.88,6.25,06.08,5.31,4.36,6.75,6,5.71,3.7
skit,5.63,4.8,5,5.92,3.75,5.5,5.8,5.57,4.3,5.3
skittish,4.27,4.95,4.62,4,4.71,5.29,4.12,4.31,4.56,5.23
skull,3.63,4.98,4,3.46,4.9,05.04,4,3.22,5.4,4.45
skunk,3.78,5.81,3.2,4.17,5.67,5.87,4,3.8,4.86,6.29
sky,7.32,2.74,6.67,7.44,2.91,2.58,7.7,6.89,3.36,2.17
skylight,6.8,3.95,6.57,6.92,4.33,3.64,6.5,7.33,3.38,4.33
skyline,6.17,4.4,5,6.4,5.67,3.86,6.1,6.25,4.17,4.5
skyscraper,5.84,5.33,4.67,06.06,5.79,05.08,6.1,5.56,5.41,5.26
slab,4.7,2.4,5.43,4.31,2.56,2.27,4.9,4.44,2.12,2.58
slack,3.85,3.22,4.2,3.73,2.8,3.38,4.4,3.3,3.71,2.91
slag,2.63,3.9,3.33,2.31,4.45,3.3,3,2.22,4.22,3.67
slam,4.79,4.61,5.64,3.62,5.5,4.36,5.62,4.18,4.29,4.82
slammer,04.09,4.79,4.8,3.88,5.38,4.36,4.25,3.9,4.8,4.78
slander,2.45,5.68,2.18,2.78,5.71,5.67,2.27,2.67,5.7,5.67
slang,5.25,4.47,4.6,5.47,4.33,4.55,5.2,5.3,4.4,4.57
slant,4.84,4.1,05.08,4.33,4.2,04.07,4.56,5.1,5.14,3.54
slap,2.95,4.59,3.33,2.88,4.92,4.2,3.3,2.56,5.11,4.23
slash,4.85,5.65,5,4.75,6.8,5.27,5.23,4.14,6.83,3.88
slate,4.77,3.19,5.11,4.54,2.8,3.44,4.62,4.86,3.54,2.85
slaughter,2.33,5.77,2.76,02.05,5.5,5.93,2.36,2.31,5.83,5.7
slaughterhouse,2.68,6.76,3.6,2.38,6.5,6.87,2.14,03.09,6.86,6.71
slave,02.06,4.53,2.75,1.5,5.29,3.96,3,1.45,4.81,4.29
slavery,2,5.45,1.5,2.25,4.73,6.18,2.45,1.29,4.64,6.27
slay,2.63,4.9,3,2.56,5,4.85,2,3.2,5.22,4.67
slayer,4.43,4.88,5.11,3.92,4.33,5.18,4.88,3,4.5,5.67
sleaze,2.95,4.12,3.38,2.69,4,4.25,3.38,2.75,4.46,3.73
sleazy,3.85,5.64,3.67,4,5.6,5.67,4,3.5,5.12,5.93
sled,6.35,3.25,6.4,6.33,03.09,3.44,6.43,6.3,2.78,3.64
sledge,4.55,3.25,4.71,4.46,3.44,03.09,4.6,4.56,3.62,3
sledgehammer,3.57,4.43,4.33,3,4.91,4,4,3.46,5.18,3.75
sleek,6.26,04.08,6.5,06.09,4.33,3.93,6.11,6.4,3.92,4.25
sleep,7.22,3.6,7.25,7.19,3.88,3.44,7.1,7.33,3.91,3.25
sleeper,5.84,03.04,5.12,6.36,3.22,2.93,6.22,5.5,4,02.08
sleepless,3.11,4.64,2.67,3.33,5.58,3.5,2.78,3.44,5.22,4.23
sleepover,6.26,4.7,6.33,6.2,4.71,4.87,6.67,5.9,4.9,4.75
sleepy,4.36,03.04,4,4.77,4,2.5,4.25,4.62,2.78,3.21
sleepyhead,5.43,2.85,5.83,5.27,3.5,2.42,5,5.6,3.2,2.5
sleet,4.4,4,4.25,4.44,3,4.18,4.38,4.42,3.33,4.55
sleeve,5.95,3.26,5.56,6.3,3.43,3.27,6.33,5.6,4.4,2.42
sleigh,6.11,3.42,5.25,6.73,3.11,3.6,6.33,5.9,4,2.83
sleight,4.65,3.24,3.75,4.88,3.5,3.18,4.88,4.5,3.9,2.64
slender,06.05,4.17,6.4,5.93,5.33,3.58,5.9,6.2,5,3.12
slice,05.05,3.5,4.67,5.33,3.7,3.3,5.33,5.17,3.14,3.69
slick,5,4.17,4.88,05.08,3.44,4.6,4.56,5.36,4.42,3.92
slicker,4.84,3.82,4.83,4.85,3.91,3.73,4.82,4.88,3.55,04.09
slide,5.71,3.3,6,5.5,3.82,2.83,5.57,5.85,3.73,2.92
slider,5.94,4.35,5.89,6,4.86,4.27,6.75,5.3,4.7,4.25
slight,4.6,3.78,4.89,4.36,3.55,4,4.93,3.83,3.22,4.14
slim,6.63,4.26,6,7.2,3.86,4.47,7.33,6,4.7,3.92
slime,3.15,4.58,3.84,2.65,5,4.26,2.94,3.33,04.06,4.96
slimy,3.21,5.1,5,2.88,5.5,4.85,3.11,3.3,5.11,05.08
sling,4.26,4.9,3.9,4.67,4.86,4.92,04.09,4.5,5.27,4.44
slingshot,5.41,5.47,5.8,5.44,5.5,5.45,5.25,5.6,5.4,5.56
slinky,4.63,3.95,4.67,4.62,4.25,3.6,4.7,4.56,3.89,4
slip,4.33,4.7,4.73,3.9,05.09,4.33,4.2,4.45,05.09,4.33
slipper,5.8,3.83,5.5,6,4.22,3.6,5.67,5.91,4.5,3.17
slippery,4.38,5.35,5,4.17,4.75,5.71,5,4.17,5.44,5.29
slit,4.26,4.23,4.91,3.71,4.88,3.86,3.38,4.91,3.78,4.54
sliver,5.75,3.85,5.43,5.92,4.11,3.64,6.1,5.44,4,3.75
slob,2.48,4.7,3.33,2.13,4.25,5,2.83,2.33,4.8,4.6
slobber,3.65,4.29,3.17,3.82,3,4.59,4.33,3.21,4.8,3.82
slogan,4.9,3.45,4.75,4.94,4.5,3.19,5,4.83,3.56,3.36
slop,3.74,3.41,3.45,4.57,3.75,3.21,3,4.27,2.56,4
slope,5.42,3.59,4.67,5.77,4.18,3,5.27,5.62,3.64,3.55
sloppy,3.42,3.64,3,3.62,3.58,3.7,3.6,3.22,3.56,3.69
slot,5.2,4.1,5.7,4.7,4.12,04.08,5.33,05.09,4.23,3.88
sloth,04.05,2.9,3.86,4.15,3,2.82,3.2,4.89,2.88,2.92
slouch,3.85,3.45,3.22,4.36,2.2,4,3.71,4.17,3.17,4.11
slow,4,2.89,04.06,3.96,2.91,2.88,3.79,4.17,3.46,2.11
sludge,2.95,4.38,2.5,3.4,4.5,4.31,2.78,03.09,4.23,4.62
slug,3.16,4.9,3,3.33,5.12,4.77,3,3.3,4.23,6
slugger,4.67,4.96,4.88,4.54,4.9,5,4.12,5,4.62,5.31
sluggish,04.05,3.2,5.12,3.38,3.2,3.2,04.08,4,3.25,3.12
slum,2.55,4.2,2.6,2.53,4.75,3.77,2.7,2.4,4.26,4.11
